Payer ID,Payer Name,Institutional Claims,Professional Claims,Dental Claims,ERA,Eligibility,Attachments,Workers Comp,Secondary Support,Payer Type,Payer State
MPM37, Adventist Health Plan,yes,yes,no,no,no,no,no,yes,commercial,
AMM03, Custody Medical Services Program,yes,yes,no,no,no,no,no,yes,commercial,
13162,1199 National Benefit Fund,yes,yes,no,enrollment,yes,no,no,no,,
J1585,1st Auto & Casualty - MN Only,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
20446,6 Degrees Health Incorporated,yes,yes,no,no,no,no,no,yes,commercial,
93044,A I Benefit Plan Administrators,yes,yes,no,no,no,no,no,yes,commercial,
11370,A-G Administrators LLC,yes,yes,no,enrollment,no,no,no,yes,,
J1976,"A.W. Holdings LLC Dba Benchmark - CT, FL, GA, IN, MD, MI, MO, NJ, NM, TN, VA - CORVEL",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
11983,AAA - Minnesota/Iowa,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
36273,AARP,yes,yes,no,enrollment,yes,no,no,yes,commercial,
68055,Absolute Total Care,yes,yes,no,enrollment,yes,no,no,yes,commercial,SC
J1477,Acadia Insurance Company,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
TH067,Access Administrators,yes,yes,no,no,no,no,no,yes,commercial,
51909,Access Community Health Network Chicago IL Family Health Network patients,yes,yes,no,no,no,no,no,yes,commercial,
INTEG,Access Integra,no,yes,no,enrollment,no,no,no,yes,commercial,
AMG02,Access Medical Group,yes,yes,no,no,no,no,no,no,commercial,
J1790,Accident Fund Insurance Co of America,yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,
64071,Acclaim,yes,yes,no,enrollment,no,no,no,yes,commercial,
45328,"Accountable Care Management Group, LLC",yes,yes,no,no,no,no,no,yes,commercial,
AHIPA,Accountable HC IPA,yes,yes,no,enrollment,no,no,no,yes,commercial,
J1024,Accuride Corporation,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1024,Ace USA,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2226,Ace Usa (Rocklin Office),yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1578,ACIG  Insurance Company - TX and MN,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
PA331,ACS Benefits / Payer Compass,yes,yes,no,enrollment,no,no,no,yes,commercial,
24585,ACTIN Care Groups,yes,yes,no,no,no,no,no,,commercial,
38254,Activa Benefit Services LLC,yes,yes,no,enrollment,no,no,no,no,commercial,
J3840,"Active Care, Inc",yes,yes,no,no,no,yes,yes,,workerscomp,
AHC01,ActivHealthCare,no,yes,no,no,no,no,no,,commercial,
J2163,ACTS Retirement - Life Communities,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
30377,Actuarial Management Resources,no,no,no,enrollment,no,no,no,,,
J1240,"Acuity, A Mutual Insurance Company ",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2286,ACWA JPI,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1667,AD-COMP,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1798,Adelanto Correctional Facility (CA),no,no,no,enrollment,no,yes,yes,no,workerscomp,
J1241,"Administaff -TX,MN,CA,IL,LA,OR,NC",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1005,"Administrative Claim Service, Inc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
22384,Administrative Concepts Inc,enrollment,enrollment,no,enrollment,yes,no,no,yes,commercial,
20405,Administrative Service Professionals ,no,no,no,enrollment,no,no,no,,commercial,
59141,Administrative Services Inc,yes,yes,no,no,no,no,no,no,commercial,
J2292,Adminsure,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2144,Admiral Linen & Uniform Service,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1843,Advance America Cash Advance Centers,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1608,"Advance Services, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2162,Advanced Auto Parts - All states ExCEPT Tx MN,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2161,Advanced Auto Parts - Tx MN,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
58202,ADVANCED DATA SOLUTIONS,yes,yes,no,no,no,no,no,no,commercial,
AMDC1,Advanced Medical Doctors of CA,yes,yes,no,no,no,no,no,yes,commercial,
AMM07,Advanced Medical Management  - Seoul Medical Group,enrollment,enrollment,no,no,no,no,no,,commercial,CA
AMM15,Advanced Medical Management - County Medical Services Program,enrollment,enrollment,no,no,no,no,no,,commercial,CA
CMSP3,Advanced Medical Management - Custody Medical Services,enrollment,enrollment,no,no,no,no,no,,commercial,CA
EMSF3,Advanced Medical Management - Emergency Medical Services Fund,enrollment,enrollment,no,no,no,no,no,,commercial,CA
AMM13,Advanced Medical Management - Medical Safety Net,enrollment,enrollment,no,no,no,no,no,,commercial,CA
AMM17,Advanced Medical Management - Sacramento Physicians Emergency Medical Services,no,enrollment,no,no,no,no,no,,commercial,
83077,Advantek Benefit Administrators,yes,yes,no,enrollment,no,no,no,no,commercial,
59374,ADVANTICA BENEFITS,yes,yes,no,no,no,no,no,yes,commercial,
59314,Advanzeon Solutions,yes,yes,no,no,no,no,no,yes,commercial,
MPM51,Adventist Health Care Network,yes,yes,no,enrollment,no,no,no,,commercial,
MPM36,Adventist Health Hanford-AHP,yes,yes,no,enrollment,no,no,no,,commercial,
95340,"Adventist Health System West-Roseville, CA",yes,yes,no,enrollment,no,no,no,yes,commercial,
MPM33,Adventist White Memorial-Crown City Medical Group,yes,yes,no,no,no,no,no,,commercial,
CB159,ADVISORY HEALTH ADMINISTRATORS,yes,yes,no,enrollment,no,no,no,yes,commercial,
J1896,"Advocare MCO, Inc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
36320,Advocate Health Centers,yes,yes,no,enrollment,no,no,no,yes,commercial,
65093,Advocate Physician Partners,yes,yes,no,enrollment,no,no,no,yes,commercial,
CB637,Aegis Administrative Services,yes,yes,no,enrollment,no,no,no,no,commercial,
60054,Aetna,yes,yes,no,enrollment,yes,no,no,yes,commercial,
26337,Aetna Better Health IL -  Premier Plan MMAI ,yes,yes,no,enrollment,yes,no,no,yes,medicaid,IL
128CA,Aetna Better Health of California,yes,yes,no,enrollment,yes,no,no,yes,commercial,CA
128FL,Aetna Better Health of Florida,yes,yes,no,enrollment,yes,no,no,yes,commercial,FL
68024,Aetna Better Health of Illinois/ IlliniCare,yes,yes,no,enrollment,yes,no,no,yes,medicaid,
128KS,Aetna Better Health of Kansas,yes,yes,no,enrollment,yes,no,no,yes,medicaid,KS
128KY,Aetna Better Health of Kentucky,yes,yes,no,enrollment,yes,no,no,yes,commercial,KY
128LA,Aetna Better Health of Louisiana,yes,yes,no,enrollment,yes,no,no,yes,medicaid,LA
128MD,Aetna Better Health of Maryland,yes,yes,no,enrollment,yes,no,no,yes,commercial,MD
128MI,Aetna Better Health of Michigan,yes,yes,no,enrollment,yes,no,no,yes,commercial,MI
46320,Aetna Better Health of New Jersey,yes,yes,no,enrollment,yes,no,no,yes,medicaid,NJ
34734,Aetna Better Health of New York,yes,yes,no,enrollment,yes,no,no,yes,commercial,NY
50023,Aetna Better Health of Ohio,yes,yes,no,enrollment,yes,no,no,yes,medicaid,OH
128VA,Aetna Better Health of Virginia,yes,yes,no,enrollment,yes,no,no,yes,medicaid,VA
128WV,Aetna Better Health of West Virginia,yes,yes,no,enrollment,yes,no,no,yes,,WV
23228,Aetna Better Health Pennsylvania,yes,yes,no,enrollment,yes,no,no,yes,medicaid,PA
ERA50,Aetna RTS Unit,no,no,no,enrollment,no,no,no,,,
AESSI,Aetna Senior Supplemental Insurance,no,no,no,no,yes,no,no,,commercial,
62118,Aetna Senior Supplemental Insurance (Aetna SSI),no,no,no,enrollment,yes,no,no,no,commercial,
38692,Aetna TX Medicaid CHIP,yes,yes,no,enrollment,yes,no,no,yes,medicaid,
J2279,AF Specialty Assigned Soltions,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
ADOCS,Affiliated Doctors of Orange County,yes,yes,no,no,no,no,no,no,commercial,CA
J1977,"Affiliated Foods, Inc.",no,no,no,enrollment,no,yes,yes,no,workerscomp,
POP09,Affiliated Partners IPA,no,yes,no,no,no,no,no,,commercial,CA
46594,AFFINITY MEDICAL GROUP,yes,yes,no,no,no,no,no,yes,commercial,
37280,AGA,yes,yes,no,enrollment,no,no,no,no,commercial,
64158,Agency Services Inc,yes,yes,no,enrollment,yes,no,no,yes,commercial,
ARA 1.00,AgeRight Advantage ,yes,yes,no,enrollment,no,no,no,yes,commercial,
AWNY6,Agewell New York,yes,yes,no,no,no,no,no,yes,commercial,
MPM38,AHP Provider Network,no,yes,no,no,no,no,no,,commercial,CA
31138,AHPO Cleveland OH,yes,yes,no,no,no,no,no,no,commercial,
95422,AIDS Healthcare Foundation,yes,yes,no,enrollment,no,no,no,,commercial,
19402,AIG,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
J1516,Air Liquide USA LLC,no,no,no,enrollment,no,yes,yes,no,workerscomp,
64884,Aither Health,yes,yes,no,enrollment,no,no,no,yes,commercial,
AKMCD,AK Medicaid,enrollment,enrollment,no,enrollment,yes,no,no,yes,medicaid,AK
831,AK Medicare Part B,no,enrollment,no,enrollment,yes,yes,no,yes,medicare,AK
2001,AK/OR/ID/WA Medicare Part A,enrollment,no,no,enrollment,yes,yes,no,yes,medicare,
CAPMN,AKM Medical Group,yes,yes,no,no,no,no,no,yes,commercial,
510,AL BCBS,yes,yes,no,enrollment,yes,no,no,yes,bcbs,AL
ALMCD,AL Medicaid,yes,yes,no,enrollment,yes,no,no,yes,medicaid,AL
10111,AL Medicare Part A,enrollment,no,no,enrollment,yes,yes,no,yes,medicare,AL
10112,AL Medicare Part B,no,enrollment,no,enrollment,yes,yes,no,yes,medicare,AL
RP065,Alacura Medical Transportation Management LLC,no,yes,no,no,no,no,no,,commercial,
95327,Alameda Alliance for Health,yes,enrollment,no,enrollment,no,no,no,yes,commercial,
91136,Alaska Childrens Services Inc,yes,yes,no,no,no,no,no,yes,commercial,AK
J1577,Alaska National Insurance,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
85600,Albuquerque Public Schools (APS),yes,yes,no,enrollment,yes,no,no,,commercial,
J1244,Alcoa Fasteners Systems,no,yes,no,enrollment,no,yes,yes,no,workerscomp,
J2166,"Alex Lee, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,
13550,ALICARE,yes,yes,no,enrollment,no,no,no,yes,commercial,
J1716,Align Networks,yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,
ASCA1,Align Senior Care (CA),yes,yes,no,enrollment,no,no,no,no,commercial,
ASFL1,Align Senior Care (FL),yes,yes,no,enrollment,no,no,no,yes,commercial,
ASMI1,Align Senior Care (MI),yes,yes,no,enrollment,no,no,no,yes,commercial,MI
ASVA1,Align Senior Care (VA),yes,yes,no,enrollment,no,no,no,,commercial,VA
AHCA1,Alignment Healthcare,yes,yes,no,enrollment,no,no,no,yes,,
ALIVI,Alivi Health,no,yes,no,no,no,no,no,,,
ALLCA,All Care Medical Group,yes,yes,no,enrollment,no,no,no,no,commercial,
81400,All Savers Insurance/UnitedHealthcare,yes,yes,no,enrollment,yes,no,no,yes,commercial,
