"Payer ID","Payer Name","Institutional Claims","Professional Claims","Dental Claims",ERA,Eligibility,Attachments,"Workers Comp","Secondary Support","Payer Type","Payer State","Eligibility Category"
13162,"1199 National Benefit Fund",yes,yes,no,enrollment,no,no,no,no,,,
J1585,"1st Auto & Casualty - MN Only",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
20446,"6 Degrees Health Incorporated",yes,yes,no,no,no,no,no,yes,commercial,,
J4399,"99 Cents Only Stores (AZ & NV)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
11370,"A-G Administrators LLC",yes,yes,no,enrollment,no,no,no,yes,,,
ERA56,"A-G Specialty Insurance LLC - ERA ONLY",no,no,no,enrollment,no,no,no,,,,
J1976,"A.W. Holdings LLC Dba Benchmark - CT, FL, GA, IN, MD, MI, MO, NJ, NM, TN, VA - CORVEL",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
11983,"AAA - Minnesota/Iowa",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J4557,"Aaron Thomas Company - Corvel",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
36273,AARP,yes,yes,no,enrollment,yes,no,no,yes,commercial,,Prime
J3789,"ABF Freight System, Inc. (Arkbest)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
ABLPY,"ABLEPAY HEALTH",yes,yes,no,enrollment,no,no,no,yes,commercial,,
68055,"Absolute Total Care",yes,yes,no,enrollment,yes,no,no,yes,commercial,SC,Prime
J4425,"Academy Sports & Outdoors, Inc - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J4140,"Acadia Healthcare Management Company, Inc.",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
J1477,"Acadia Insurance Company",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J3729,"ACCD (ATHENS)",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
51909,"Access Community Health Network Chicago IL Family Health Network patients",yes,yes,no,no,no,no,no,yes,commercial,,
INTEG,"Access Integra",no,yes,no,enrollment,no,no,no,yes,commercial,,
AMG02,"Access Medical Group",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1790,"Accident Fund Insurance Co of America",yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,,
64071,Acclaim,yes,yes,no,enrollment,no,no,no,yes,commercial,,
45328,"Accountable Care Management Group, LLC",yes,yes,no,no,no,no,no,yes,commercial,,
AHIPA,"Accountable HC IPA",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J1024,"Accuride Corporation",yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,,
J2285,"Ace USA",yes,yes,no,enrollment,no,yes,yes,yes,workerscomp,,
J2226,"Ace Usa (Rocklin Office)",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
72467,"ACS Benefit Services Inc",yes,yes,no,enrollment,no,no,no,yes,commercial,,
PA331,"ACS Benefits / Payer Compass",yes,yes,no,enrollment,no,no,no,yes,commercial,,
24585,"ACTIN Care Groups",yes,yes,no,no,no,no,no,,commercial,,
38254,"Activa Benefit Services LLC",yes,yes,no,enrollment,no,no,no,yes,commercial,,
J3840,"Active Care, Inc",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
66310,"Active Care, Inc.",yes,yes,no,no,no,no,no,,,,
AHC01,ActivHealthCare,no,yes,no,no,no,no,no,yes,commercial,,
J2163,"ACTS Retirement - Life Communities",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
30377,"Actuarial Management Resources",no,no,no,enrollment,no,no,no,,,,
J1240,"Acuity, A Mutual Insurance Company ",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2286,"ACWA JPI",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1667,AD-COMP,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1798,"Adelanto Correctional Facility (CA)",no,no,no,enrollment,no,yes,yes,no,workerscomp,,
J1241,"Administaff -TX,MN,CA,IL,LA,OR,NC",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1005,"Administrative Claim Service, Inc",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
22384,"Administrative Concepts Inc",yes,yes,no,enrollment,no,no,no,yes,commercial,,
20405,"Administrative Service Professionals",no,no,no,enrollment,no,no,no,,commercial,,
59141,"Administrative Services Inc",yes,yes,no,no,no,no,no,yes,commercial,,
87871,"AdminOne, LLC",yes,yes,no,no,no,no,no,,,,
J2292,Adminsure,yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2144,"Admiral Linen & Uniform Service",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1843,"Advance America Cash Advance Centers",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J1608,"Advance Services, Inc.",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2162,"Advanced Auto Parts - All states ExCEPT Tx MN",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
J2161,"Advanced Auto Parts - Tx MN",yes,yes,no,enrollment,no,yes,yes,no,workerscomp,,
58202,"ADVANCED DATA SOLUTIONS",yes,no,no,no,no,no,no,no,commercial,,
AMDC1,"Advanced Medical Doctors of CA",yes,yes,no,no,no,no,no,yes,commercial,,
AMM07,"Advanced Medical Management  - Seoul Medical Group",yes,yes,no,no,no,no,no,,commercial,CA,
AMM15,"Advanced Medical Management - County Medical Services Program",yes,yes,no,no,no,no,no,,commercial,CA,
CMSP3,"Advanced Medical Management - Custody Medical Services",yes,yes,no,no,no,no,no,,commercial,CA,
EMSF3,"Advanced Medical Management - Emergency Medical Services Fund",yes,yes,no,no,no,no,no,,commercial,CA,
AMM13,"Advanced Medical Management - Medical Safety Net",yes,yes,no,no,no,no,no,,commercial,CA,
AMM17,"Advanced Medical Management - Sacramento Physicians Emergency Medical Services",no,yes,no,no,no,no,no,,commercial,,
J4440,"Advanced Rehab Network",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
ACIPA,"Advantage Care IPA",yes,yes,no,no,no,no,no,yes,commercial,,
83077,"Advantek Benefit Administrators",yes,yes,no,enrollment,no,no,no,no,commercial,,
J4154,"AdventHealth - CORVEL",yes,yes,no,enrollment,no,yes,yes,,workerscomp,,
MPM51,"Adventist Health Care Network",yes,yes,no,no,no,no,no,,commercial,,
MPM36,"Adventist Health Hanford-AHP",yes,yes,no,enrollment,no,no,no,,commercial,,
MPM37,"Adventist Health Plan",yes,yes,no,no,no,no,no,yes,commercial,,
