Payer Id,Name,Address Line 1,City,State,Zip,Tel
37257,90degreebenefits,PO BOX 928,FINDLAY,OH,45839-0928,
36273,AARP MEDICARE SUPPLEMENT PLAN,PO Box 740819,Atlanta,GA,30374,888-866-8297
,ACE Medicare Supplement,PO Box 10859,Clearwater,FL,33757,800-601-3372
56693,ACTUARIAL MANAGEMENT RESOURCES,4964 UNIVERSITY PARKWAY,WINSTON-SALEM,NC,27106,
22384,Administrative Concepts Inc,997 Old Eagle School Road,Wayne,PA,19087,877-301-6136
40025,Aetna (Innovation Health Insurance Co.),PO BOX 981106,El Paso,TX,79998,
62118,Aetna (Payments),1021 Reams Fleming Blvd,Franklin,TN,37064,
38308,Aetna ASA Christian Brothers Services,1205 WINDHAM PKWY,ROMEOVILLE,IL,60446,
128KY,Aetna better health of KY,PO BOX 982969,EL PASO,TX,79998-9280,
128MD,Aetna Better Health of Maryland,PO BOX 982968,EL PASO,TX,79998-9280,866-827-2710
46320,AETNA BETTER HEALTH OF NEW JERSEY,P.O. BOX 982979,El Paso,TX,79998,
128VA,Aetna Better Health of Virginia,PO BOX 982974,EL PASO,TX,79998-9280,800-279-1878
128WV,AETNA BETTER HEALTH OF WEST VIRGINIA,P.O. BOX 982965,El Paso,TX,79998,
60054,Aetna Choice Plus,PO BOX 14079,LEXINGTON,KY,40512-4598,888-632-3862
60054,Aetna Health Plans,PO BOX 981106,EL PASO,TX,79998-1107,
AESSI,Aetna Senior Supplemental Insurance,PO BOX 14770,LEXINGTON,KY,40512,
64884,Aither Health,PO Box 211440,Eagan,MN,55121,844-899-6612
81400,All Savers Insurance   UnitedHealthOne,PO Box 19032,Greenbay,WI,54307,
52193,Allegeant,1954 Greenspring Drive,Timonium,MD,21093,
81040,Allegiance Benefit Plan Management Inc,P.O.Box 3018,Missoula,MT,59806,
37308,Allied Benefit Systems,"chicago , IL 60690",chicago,VI,60007,
75068,Allied Benefit Systems Inc,PO Box 909786,Chicago,IL,60690,866-455-8727
37308,allied benefits,PO BOX 462,Midleburg,vA,20118,
ASHC1,Allstate Health Solutions,PO Box 3252,milwaukee,WI,53201,855-212-5014
1000003089,AMA INSURANCE,330 N. WABASH AVE.,Chicago,IL,60611,
,AMBA,6034 W COURTYARD DR,AUSTIN,TX,78730-5035,800-375-2764
68069,Ambetter of Alabama,PO Box 5010,Farmington,MO,63640-5010,
1000001823,AMERIBEN SOLUTIONS,88 FARWELL RD,Boise,ID,83707,
01066,American Healthcare Alliance,PO Box 26127,Overland Park,KS,66225,800-222-8734
98798,American life insurance,po box 4884,Houston,TX,77210,
95606,American Plan Administrators,PO BOX 477,ARNOLD,MD,21012-0480,888-624-6300
26375,Amerigroup,PO BOX 61010,VIRGINIA BEACH,VA,23466-1010,
27514,Amerigroup Maryland and Virginia,PO BOX 61010,Virginia Beach,VA,23466,
22248,AmeriHealth Caritas Pennsylvania,PO BOX 7118,LONDON,KY,40742-7118,800-521-6007
,AmTrust North America WC,PO Box 89404,Cleveland,OH,44101,888-239-3909
SB923,Anthem HealthKeepers,PO BOX 27401,RICHMOND,VA,23279,800-901-0020
SB923,Anthem HealthKeepers,PO Box 61010,Virginia Beach,VA,23466,
13788,ASSOCIATED ADMINISTRATORS,911 Ridgebrook Road,Sparks,MD,21152,
1000003430,AUXIANT,PO BOX 75008,CEDAR RAPIDS,IA,52407,
22384,Balance Care,PO Box 4000,Collegeville,PA,19426,800-410-9153
62065,bankers life,P.O BOX 1935,CARMEL,IN,46082-1935,
,BCB,293 TURNPIKE RD,Charleston,sC,29403,444-444-4444
53589,BCBS of AZ,PO Box 2924,Phoenix,AZ,85062-2924,
1000005104,BENEFIT ASSISTANCE CORPORATION,3556 TEAYS VALLEY ROAD,HURRICANE,WV,25526,
19753,"BENEFIT PLAN ADMINISTRATORS, INC.",PO BOX 21392,SAINT PAUL,MN,55121-0392,800-277-8973
25463,Bind on demand Health Insurance,PO BOX 211758,EAGAN,MN,55121,
CB987,Blackhawk,PO Box 21661,Eagan,MN,55121,
SB690,Blue Cross and Blue Shield of Maryland,PO BOX 14113,LEXINGTON,KY,40512,
,Blue cross and blue shield of texas,PO BOX 660044,Dallas,TX,75266-0044,
SB923,Blue Cross and Blue Shield of Virginia,PO Box 27401,Richmond,VA,23279,
00621,blue cross blue shield of illinois,PO BOX 3004 naperville,ILLINOIS,IL,60629,
SB700,Blue Cross Blue Shield of Massachusetts,25 TECHNOLOGY PL,HINGHAM,MA,02043-4359,
SB880,Blue Cross Blue Shield of South Carolina,PO BOX 6000,GREENVILLE,SC,29606-6000,
